rank,symbol,quote_volume_24h,last_price,spread_bps,listing_days,underlying_type,underlying_subcategories,tier
1,BANKUSDT,480552221.06932998,0.047,2.1283,473,COIN,Meme,alt_high_liquidity
2,HOMEUSDT,454754936.16398698,0.009431,3.1818,421,COIN,DeFi,alt_high_liquidity
3,ZECUSDT,448932633.19000000,516.49,0.1936,2373,COIN,PoW,alt_high_liquidity
4,HYPEUSDT,427626616.30960000,56.953,0.1756,432,COIN,DeFi,alt_high_liquidity
5,CYSUSDT,427042199.69819999,0.6651,3.0089,236,COIN,Alpha,alt_high_liquidity
6,HEIUSDT,403938256.43646598,0.18511,1.6225,538,COIN,Infrastructure,alt_high_liquidity
7,UBUSDT,301239487.13738000,0.1459,3.4283,327,COIN,Alpha,alt_high_liquidity
8,BLESSUSDT,298821418.13781601,0.01968,4.0607,316,COIN,Alpha,alt_high_liquidity
9,SKYAIUSDT,171046545.27844000,0.05437,3.6771,449,COIN,AI,alt_high_liquidity
10,PUMPUSDT,159116597.57686901,0.002508,3.9864,391,COIN,Meme,alt_high_liquidity
11,COTIUSDT,143692909.91350919,0.013336,0.7492,1975,COIN,Payment,alt_high_liquidity
12,BICOUSDT,131526467.44284999,0.02365,4.2274,1041,COIN,Infrastructure,alt_high_liquidity
13,1000PEPEUSDT,98729839.52718429,0.002865,0.3490,1188,COIN,Meme,alt_high_liquidity
14,1000RATSUSDT,98143170.20871000,0.04859,2.0599,963,COIN,Meme,alt_high_liquidity
15,HFTUSDT,98140797.20923001,0.01838,10.8578,1218,COIN,DeFi,alt_high_risk
16,BTWUSDT,96709962.79153600,0.13916,2.8573,61,COIN,,alt_high_liquidity
17,WLDUSDT,85641716.52710000,0.3191,3.1333,1108,COIN,AI,alt_high_liquidity
18,UAIUSDT,81731554.98119999,0.2655,7.5415,272,COIN,Alpha,alt_mid_liquidity
19,ENAUSDT,72292235.55139001,0.09156,1.0921,854,COIN,DeFi,alt_high_liquidity
20,TAOUSDT,69962427.06000000,195.97,0.5103,845,COIN,AI,alt_high_liquidity
21,AKEUSDT,67880513.66433340,0.0041145,0.4860,312,COIN,Alpha,alt_high_liquidity
22,AAVEUSDT,67342629.95700000,91.09,1.0978,2119,COIN,DeFi,alt_high_liquidity
23,BEATUSDT,63143344.22080000,2.442,4.0992,265,COIN,Alpha,alt_high_liquidity
24,SYNUSDT,56696433.06189000,0.1176,17.0068,718,COIN,DeFi,alt_high_risk
25,GIGGLEUSDT,55722188.80290000,33.71,2.9652,300,COIN,Meme,alt_high_liquidity
26,LDOUSDT,54707287.54360000,0.2964,3.3744,1414,COIN,DeFi,alt_high_liquidity
27,ONDOUSDT,54284545.18449000,0.385,2.5971,927,COIN,DeFi,alt_high_liquidity
28,DEXEUSDT,48439483.14767000,2.248,4.4494,589,COIN,DeFi,alt_mid_liquidity
29,SKRUSDT,47688877.39320600,0.008776,3.4182,195,COIN,Alpha,alt_mid_liquidity
30,EPICUSDT,36802991.68304000,0.9599,3.1245,510,COIN,NFT,alt_mid_liquidity
31,KAITOUSDT,36233360.06406000,0.9271,1.0787,530,COIN,Infrastructure,alt_mid_liquidity
32,STOUSDT,33256384.33950000,0.03978,2.5148,479,COIN,DeFi,alt_mid_liquidity
33,KOMAUSDT,31532834.76704000,0.012325,5.6751,602,COIN,Meme,alt_mid_liquidity
34,1000SHIBUSDT,29030897.01318800,0.00488,2.0490,1913,COIN,Meme,alt_mid_liquidity
35,EULUSDT,25153552.09337000,1.4083,0.7101,295,COIN,,alt_mid_liquidity
36,FETUSDT,24714029.14170000,0.1507,6.6335,1298,COIN,AI,alt_mid_liquidity
37,FIDAUSDT,22052714.45571000,0.02113,4.7472,684,COIN,Infrastructure,alt_mid_liquidity
38,TUTUSDT,21899067.54057000,0.02494,8.0225,503,COIN,Meme,alt_mid_liquidity
39,TRUMPUSDT,21659047.65070000,1.462,6.8376,563,COIN,Meme,alt_mid_liquidity
40,LITUSDT,20898989.01144000,2.1091,0.4741,224,COIN,DeFi,alt_mid_liquidity
41,XMRUSDT,20724152.78000000,353.03,1.4164,2375,COIN,PoW,alt_mid_liquidity
42,USUSDT,20564616.90258500,0.054385,2.5739,236,COIN,Alpha,alt_mid_liquidity
43,FARTCOINUSDT,19681757.00586000,0.135,7.4102,592,COIN,Meme,alt_mid_liquidity
44,LABUSDT,19123651.34390000,0.1482,6.7454,291,COIN,Alpha,alt_mid_liquidity
45,TAKEUSDT,18704841.25535000,0.04384,9.1158,336,COIN,Gaming,alt_mid_liquidity
46,ALLOUSDT,18695002.85199000,0.25852,0.7739,266,COIN,AI,alt_mid_liquidity
47,ETHFIUSDT,18216889.91485000,0.3642,2.7461,869,COIN,DeFi,alt_mid_liquidity
48,PENGUUSDT,18110149.55739000,0.006034,1.6580,595,COIN,Meme,alt_mid_liquidity
49,ZAMAUSDT,16373623.54471000,0.05158,1.9385,208,COIN,Infrastructure,alt_mid_liquidity
50,1000BONKUSDT,16188977.36186400,0.0028,3.5721,986,COIN,Meme,alt_mid_liquidity
51,MMTUSDT,16090427.77060000,0.151,6.6203,274,COIN,DeFi,alt_mid_liquidity
52,RIFUSDT,15455341.25847000,0.0703,5.6923,1018,COIN,Storage,alt_mid_liquidity
53,BIOUSDT,15449182.34848000,0.02395,4.1745,578,COIN,,alt_mid_liquidity
54,ONUSDT,15010173.75553000,0.25274,5.1423,285,COIN,Alpha,alt_mid_liquidity
55,AIOUSDT,14970861.16037000,0.03926,7.6384,357,COIN,Alpha,alt_mid_liquidity
56,ACXUSDT,13964562.45638600,0.03837,7.8156,606,COIN,DeFi,alt_mid_liquidity
57,VANRYUSDT,13961168.91875100,0.003629,2.7567,874,COIN,Metaverse,alt_mid_liquidity
58,REUSDT,13644334.12110000,0.3905,2.5605,47,COIN,Alpha,alt_mid_liquidity
59,PTBUSDT,13178230.14119820,0.0008391,7.1822,335,COIN,Alpha,alt_mid_liquidity
60,ESPORTSUSDT,13153454.24755000,0.01801,5.5540,372,COIN,Gaming,alt_mid_liquidity
61,ACEUSDT,12822880.83466500,0.07158,2.7937,961,COIN,Gaming,alt_mid_liquidity
62,BIRBUSDT,12601584.45848000,0.05684,7.0188,188,COIN,Alpha,alt_mid_liquidity
63,ZROUSDT,11933895.51030000,0.7772,2.5740,775,COIN,Infrastructure,alt_mid_liquidity
64,ASTERUSDT,11645039.15300000,0.6071,1.6470,320,COIN,DeFi,alt_mid_liquidity
65,WLFIUSDT,11623360.73690000,0.05401,1.8517,347,COIN,DeFi,alt_mid_liquidity
66,WIFUSDT,11257448.53886000,0.1396,7.1659,929,COIN,Meme,alt_mid_liquidity
67,VVVUSDT,10943121.87306000,11.156,0.8963,553,COIN,AI,alt_mid_liquidity
68,RENDERUSDT,10427639.57820000,1.35,7.4102,740,COIN,Infrastructure,alt_mid_liquidity
69,BSBUSDT,10173558.77008000,0.13458,2.2294,133,COIN,Alpha,alt_mid_liquidity
70,NILUSDT,10044549.46895700,0.03284,3.0446,498,COIN,AI,alt_mid_liquidity
71,JTOUSDT,9587222.45510000,0.5057,1.9780,971,COIN,DeFi,alt_high_risk
72,VIRTUALUSDT,9294554.52935000,0.5617,1.7802,602,COIN,AI,alt_high_risk
73,ICNTUSDT,9280032.98280000,0.1054,9.4742,397,COIN,,alt_high_risk
74,GWEIUSDT,9119401.81280000,0.01709,5.8531,188,COIN,Alpha,alt_high_risk
75,IDOLUSDT,9103063.61097000,0.01613,6.1977,397,COIN,AI,alt_high_risk
76,PIPPINUSDT,9046913.87662000,0.01695,5.8980,558,COIN,Meme,alt_high_risk
77,ORDIUSDT,8886952.17310000,3.343,2.9909,1001,COIN,Meme,alt_high_risk
78,AEROUSDT,8543891.04775000,0.4213,2.3739,608,COIN,DeFi,alt_high_risk
79,VELVETUSDT,8415684.87032000,0.4886,4.0866,386,COIN,DeFi,alt_high_risk
80,SAHARAUSDT,8345712.47296300,0.008437,1.1850,405,COIN,AI,alt_high_risk
81,DASHUSDT,8340608.00000000,31.42,3.1822,2374,COIN,PoW,alt_high_risk
82,LAUSDT,8058106.36341400,0.04572,2.1870,426,COIN,AI,alt_high_risk
83,TIAUSDT,7954677.60660000,0.3372,2.9669,1008,COIN,Infrastructure,alt_high_risk
84,HYPERUSDT,7884481.97444000,0.05709,1.7505,469,COIN,DeFi,alt_high_risk
85,EVAAUSDT,7870380.75144000,0.8473,1.1799,306,COIN,DeFi,alt_high_risk
86,SLXUSDT,7782718.42571000,0.0753,1.3281,65,COIN,,alt_high_risk
87,CAPUSDT,7765024.73059000,0.02908,6.8799,39,COIN,,alt_high_risk
88,CRVUSDT,7681855.17260000,0.2042,4.8960,2164,COIN,DeFi,alt_high_risk
89,ESPUSDT,7592083.18630000,0.06155,1.6248,176,COIN,Alpha,alt_high_risk
90,MYXUSDT,7552927.07714000,0.07728,7.7680,412,COIN,DeFi,alt_high_risk
91,JCTUSDT,7295692.48180100,0.004047,2.4664,268,COIN,Alpha,alt_high_risk
92,PENDLEUSDT,7287744.38240000,1.3794,2.1743,1104,COIN,DeFi,alt_high_risk
93,JUPUSDT,7195060.22450000,0.1865,5.3605,916,COIN,DeFi,alt_high_risk
