signal_at,order_active_at,order_expire_at,trigger_price,return_5s,return_15s,return_60s,volume_5s,volume_baseline_1s_median,volume_multiple_5s,12h_low,rise_from_12h_low,origin_price,origin_plus_10pct_floor,spike_high,atr_5m,pricing_mode,predicted_primary,invalid_price,window_high,window_low,window_high_vs_trigger,window_low_vs_trigger,invalid_touched,tier1_price,tier1_weight,tier1_status,tier1_first_touch_at,tier2_price,tier2_weight,tier2_status,tier2_first_touch_at,tier3_price,tier3_weight,tier3_status,tier3_first_touch_at,filled_tier_count,order_result,next_5m_high,next_5m_low,next_5m_close,exit_status,entry_avg,exit_price,gross_return,net_return
2026-07-17T10:06:04+08:00,2026-07-17T10:06:05+08:00,2026-07-17T10:09:04+08:00,0.0786900000,5.5816%,5.7377%,5.9655%,19525615.0000000000,123782.0000000000,31.5484x,0.0575800000,36.6620%,0.0575800000,0.0633380000,0.0791900000,0.0004964286,momentum_atr_estimate,0.0788176786,0.0809275000,0.0799900000,0.0762100000,1.6521%,-3.1516%,no,0.0786191071,0.30,not_placed,,0.0788176786,0.40,not_placed,,0.0790162500,0.30,not_placed,,0,rejected_origin_floor,0.0799900000,0.0762100000,0.0776500000,no_position,,,,
2026-07-18T16:11:55+08:00,2026-07-18T16:11:56+08:00,2026-07-18T16:14:55+08:00,0.1026700000,5.4648%,5.5733%,3.7490%,6352954.0000000000,274106.0000000000,4.6354x,0.0620500000,65.4633%,0.0620500000,0.0682550000,0.1026700000,0.0017800000,momentum_atr_estimate,0.1013350000,0.1089000000,0.1049600000,0.0972500000,2.2304%,-5.2790%,no,0.1006230000,0.30,not_placed,,0.1013350000,0.40,not_placed,,0.1020470000,0.30,not_placed,,0,rejected_origin_floor,0.1049600000,0.0972500000,0.1016300000,no_position,,,,
2026-07-19T11:05:24+08:00,2026-07-19T11:05:25+08:00,2026-07-19T11:08:24+08:00,0.1788000000,8.2849%,11.6244%,14.2419%,28616632.0000000000,287117.0000000000,19.9338x,0.0648300000,175.7982%,0.0648300000,0.0713130000,0.1826500000,0.0044242857,momentum_atr_estimate,0.1793317857,0.1981350000,0.1853900000,0.1683900000,3.6857%,-5.8221%,no,0.1775620714,0.30,not_placed,,0.1793317857,0.40,not_placed,,0.1811015000,0.30,not_placed,,0,rejected_origin_floor,0.1853900000,0.1656600000,0.1673500000,no_position,,,,
2026-07-19T23:57:29+08:00,2026-07-19T23:57:30+08:00,2026-07-20T00:00:29+08:00,0.2347700000,5.1696%,5.5004%,5.6190%,9190667.0000000000,38649.0000000000,47.5597x,0.1032700000,127.3361%,0.0942100000,0.1036310000,0.2359000000,0.0127271429,momentum_atr_estimate,0.2263546429,0.2804450000,0.2349900000,0.2233700000,0.0937%,-4.8558%,no,0.2212637857,0.30,not_placed,,0.2263546429,0.40,not_placed,,0.2314455000,0.30,not_placed,,0,rejected_origin_floor,0.2349900000,0.2206200000,0.2217600000,no_position,,,,
2026-07-20T02:41:28+08:00,2026-07-20T02:41:29+08:00,2026-07-20T02:44:28+08:00,0.2495700000,5.5487%,6.0781%,8.2217%,14780134.0000000000,50191.0000000000,58.8956x,0.1032700000,141.6675%,0.1021700000,0.1123870000,0.2530000000,0.0086914286,momentum_atr_estimate,0.2464814286,0.2834200000,0.2679800000,0.2433900000,7.3767%,-2.4763%,no,0.2430048571,0.30,not_placed,,0.2464814286,0.40,not_placed,,0.2499580000,0.30,not_placed,,0,rejected_origin_floor,0.2679800000,0.2421000000,0.2504300000,no_position,,,,
2026-07-22T02:25:54+08:00,2026-07-22T02:25:55+08:00,2026-07-22T02:28:54+08:00,0.1672500000,5.0895%,9.0358%,8.7027%,7113758.0000000000,106367.0000000000,13.3759x,0.1312300000,27.4480%,0.1312300000,0.1443530000,0.1814300000,0.0042285714,momentum_atr_estimate,0.1782585714,0.1962300000,0.1747800000,0.1616000000,4.5022%,-3.3782%,no,0.1765671429,0.30,unfilled,,0.1782585714,0.40,unfilled,,0.1799500000,0.30,unfilled,,0,no_fill,0.1770000000,0.1616000000,0.1730500000,no_position,,,,
2026-07-24T22:21:58+08:00,2026-07-24T22:21:59+08:00,2026-07-24T22:24:58+08:00,0.3177100000,6.3358%,6.3821%,6.2789%,14580085.0000000000,4231.0000000000,689.2028x,0.2303000000,37.9548%,0.2303000000,0.2533300000,0.3224700000,0.0058607143,momentum_atr_estimate,0.3180744643,0.3429825000,0.3230000000,0.3014800000,1.6650%,-5.1084%,no,0.3157301786,0.30,not_placed,,0.3180744643,0.40,not_placed,,0.3204187500,0.30,not_placed,,0,rejected_origin_floor,0.3230000000,0.3014800000,0.3095300000,no_position,,,,
2026-07-25T14:59:12+08:00,2026-07-25T14:59:13+08:00,2026-07-25T15:02:12+08:00,0.3770200000,5.2540%,8.0410%,8.0751%,13823247.0000000000,59710.0000000000,46.3013x,0.2900000000,30.0069%,0.2870200000,0.3157220000,0.3784600000,0.0058321429,momentum_atr_estimate,0.3740858929,0.3988725000,0.3900000000,0.3580200000,3.4428%,-5.0395%,no,0.3717530357,0.30,not_placed,,0.3740858929,0.40,not_placed,,0.3764187500,0.30,not_placed,,0,rejected_origin_floor,0.3900000000,0.3546500000,0.3578400000,no_position,,,,
2026-07-27T06:17:40+08:00,2026-07-27T06:17:41+08:00,2026-07-27T06:20:40+08:00,0.4792800000,7.5873%,7.6622%,11.5513%,11179536.0000000000,262190.0000000000,8.5278x,0.3631400000,31.9822%,0.3401000000,0.3741100000,0.4820000000,0.0038557143,momentum_atr_estimate,0.4791082143,0.4954950000,0.6720500000,0.4130800000,40.2207%,-13.8124%,yes,0.4775659286,0.30,not_placed,,0.4791082143,0.40,not_placed,,0.4806505000,0.30,not_placed,,0,rejected_origin_floor,0.6720500000,0.3901800000,0.4295100000,no_position,,,,
2026-07-27T06:26:10+08:00,2026-07-27T06:26:11+08:00,2026-07-27T06:29:10+08:00,0.5154500000,5.9332%,6.6147%,11.0692%,3005870.0000000000,148542.0000000000,4.0472x,0.3631400000,41.9425%,0.3401000000,0.3741100000,0.5198000000,0.0037314286,momentum_atr_estimate,0.5170014286,0.5328600000,0.5436700000,0.5064800000,5.4748%,-1.7402%,yes,0.5155088571,0.30,filled,2026-07-27T06:26:11+08:00,0.5170014286,0.40,filled,2026-07-27T06:26:11+08:00,0.5184940000,0.30,filled,2026-07-27T06:26:11+08:00,3,all_filled,0.5535000000,0.5064800000,0.5443700000,stop,0.5170014286,0.5328600000,-2.9761%,-3.0561%
