signal_at,order_active_at,order_expire_at,trigger_price,return_5s,return_15s,return_60s,volume_5s,volume_baseline_1s_median,volume_multiple_5s,12h_low,rise_from_12h_low,origin_price,origin_plus_10pct_floor,spike_high,atr_5m,pricing_mode,predicted_primary,invalid_price,window_high,window_low,window_high_vs_trigger,window_low_vs_trigger,invalid_touched,tier1_price,tier1_weight,tier1_status,tier1_first_touch_at,tier2_price,tier2_weight,tier2_status,tier2_first_touch_at,tier3_price,tier3_weight,tier3_status,tier3_first_touch_at,filled_tier_count,order_result,next_5m_high,next_5m_low,next_5m_close,exit_status,entry_avg,exit_price,gross_return,net_return
2026-07-09T14:40:37+08:00,2026-07-09T14:40:38+08:00,2026-07-09T14:43:37+08:00,0.0203200000,5.1760%,5.5036%,2.3162%,12829450.0000000000,121492.0000000000,21.1198x,0.0154600000,31.4360%,0.0151300000,0.0166430000,0.0203700000,0.0001514286,momentum_atr_estimate,0.0202564286,0.0209000000,0.0217400000,0.0201900000,6.9882%,-0.6398%,yes,0.0201958571,0.30,not_placed,,0.0202564286,0.40,not_placed,,0.0203170000,0.30,not_placed,,0,rejected_origin_floor,0.0218200000,0.0201900000,0.0216100000,no_position,,,,
2026-07-16T05:01:19+08:00,2026-07-16T05:01:20+08:00,2026-07-16T05:04:19+08:00,0.0173100000,9.7654%,2.6082%,-2.0374%,13648934.0000000000,454912.0000000000,6.0007x,0.0141200000,22.5921%,0.0141200000,0.0155320000,0.0174000000,0.0001314286,momentum_atr_estimate,0.0173014286,0.0178600000,0.0180000000,0.0167100000,3.9861%,-3.4662%,yes,0.0172488571,0.30,not_placed,,0.0173014286,0.40,not_placed,,0.0173540000,0.30,not_placed,,0,rejected_origin_floor,0.0182900000,0.0167100000,0.0181600000,no_position,,,,
2026-07-16T14:55:54+08:00,2026-07-16T14:55:55+08:00,2026-07-16T14:58:54+08:00,0.0218500000,5.2505%,5.8624%,-1.3544%,29927871.0000000000,303247.0000000000,19.7383x,0.0134300000,62.6955%,0.0134300000,0.0147730000,0.0222800000,0.0002700000,momentum_atr_estimate,0.0220775000,0.0232250000,0.0229500000,0.0206200000,5.0343%,-5.6293%,no,0.0219695000,0.30,filled,2026-07-16T14:55:58+08:00,0.0220775000,0.40,filled,2026-07-16T14:55:58+08:00,0.0221855000,0.30,filled,2026-07-16T14:55:58+08:00,3,all_filled,0.0229500000,0.0206200000,0.0222200000,stop,0.0220775000,0.0232250000,-4.9408%,-5.0208%
2026-07-16T15:07:09+08:00,2026-07-16T15:07:10+08:00,2026-07-16T15:10:09+08:00,0.0260500000,5.0827%,7.3784%,9.9156%,32585481.0000000000,753619.0000000000,8.6477x,0.0134300000,93.9687%,0.0134300000,0.0147730000,0.0270000000,0.0002285714,momentum_atr_estimate,0.0268285714,0.0278000000,0.0268200000,0.0242100000,2.9559%,-7.0633%,no,0.0267371429,0.30,filled,2026-07-16T15:07:10+08:00,0.0268285714,0.40,unfilled,,0.0269200000,0.30,unfilled,,1,partial_filled,0.0268200000,0.0242100000,0.0251900000,target,0.0267371429,0.0246114287,8.6371%,8.5571%
2026-07-16T18:32:07+08:00,2026-07-16T18:32:08+08:00,2026-07-16T18:35:07+08:00,0.0212900000,6.4500%,5.8677%,6.1316%,16357433.0000000000,442361.0000000000,7.3955x,0.0134300000,58.5257%,0.0134300000,0.0147730000,0.0215800000,0.0001578571,momentum_atr_estimate,0.0214616071,0.0221325000,0.0222700000,0.0210900000,4.6031%,-0.9394%,yes,0.0213984643,0.30,filled,2026-07-16T18:32:08+08:00,0.0214616071,0.40,filled,2026-07-16T18:32:08+08:00,0.0215247500,0.30,filled,2026-07-16T18:32:10+08:00,3,all_filled,0.0222700000,0.0210900000,0.0216600000,stop,0.0214616071,0.0221325000,-3.0313%,-3.1113%
2026-07-18T01:37:36+08:00,2026-07-18T01:37:37+08:00,2026-07-18T01:40:36+08:00,0.0338600000,9.6148%,5.6145%,2.2961%,16732348.0000000000,433583.0000000000,7.7182x,0.0182700000,85.3311%,0.0182700000,0.0200970000,0.0338700000,0.0005800000,momentum_atr_estimate,0.0334350000,0.0359000000,0.0346200000,0.0332200000,2.2445%,-1.8901%,no,0.0332030000,0.30,not_placed,,0.0334350000,0.40,not_placed,,0.0336670000,0.30,not_placed,,0,rejected_origin_floor,0.0348300000,0.0332200000,0.0342900000,no_position,,,,
2026-07-18T02:32:29+08:00,2026-07-18T02:32:30+08:00,2026-07-18T02:35:29+08:00,0.0358200000,5.0440%,4.4619%,6.2593%,25686939.0000000000,107325.0000000000,47.8676x,0.0182700000,96.0591%,0.0182700000,0.0200970000,0.0366700000,0.0013314286,momentum_atr_estimate,0.0356714286,0.0413300000,0.0388100000,0.0356400000,8.3473%,-0.5025%,no,0.0351388571,0.30,not_placed,,0.0356714286,0.40,not_placed,,0.0362040000,0.30,not_placed,,0,rejected_origin_floor,0.0388100000,0.0351500000,0.0355000000,no_position,,,,
2026-07-19T02:15:45+08:00,2026-07-19T02:15:46+08:00,2026-07-19T02:18:45+08:00,0.0394100000,6.2551%,4.5635%,2.4435%,5732234.0000000000,256001.0000000000,4.4783x,0.0186300000,111.5405%,0.0186300000,0.0204930000,0.0396000000,0.0016800000,momentum_atr_estimate,0.0383400000,0.0454800000,0.0438700000,0.0388400000,11.3169%,-1.4463%,no,0.0376680000,0.30,not_placed,,0.0383400000,0.40,not_placed,,0.0390120000,0.30,not_placed,,0,rejected_origin_floor,0.0446200000,0.0388400000,0.0433100000,no_position,,,,
2026-07-19T04:10:17+08:00,2026-07-19T04:10:18+08:00,2026-07-19T04:13:17+08:00,0.0426500000,5.8838%,4.8427%,3.4692%,19610842.0000000000,172400.0000000000,22.7504x,0.0186300000,128.9318%,0.0186300000,0.0204930000,0.0429900000,0.0021550000,momentum_atr_estimate,0.0413737500,0.0505325000,0.0434100000,0.0414600000,1.7819%,-2.7902%,no,0.0405117500,0.30,not_placed,,0.0413737500,0.40,not_placed,,0.0422357500,0.30,not_placed,,0,rejected_origin_floor,0.0439500000,0.0414600000,0.0435400000,no_position,,,,
2026-07-19T04:15:22+08:00,2026-07-19T04:15:23+08:00,2026-07-19T04:18:22+08:00,0.0461800000,6.0634%,7.5705%,7.9981%,13505786.0000000000,134144.0000000000,20.1363x,0.0186300000,147.8798%,0.0186300000,0.0204930000,0.0465000000,0.0022257143,momentum_atr_estimate,0.0448307143,0.0542900000,0.0463000000,0.0445000000,0.2599%,-3.6379%,no,0.0439404286,0.30,not_placed,,0.0448307143,0.40,not_placed,,0.0457210000,0.30,not_placed,,0,rejected_origin_floor,0.0463000000,0.0445000000,0.0451900000,no_position,,,,
