signal_at,order_active_at,order_expire_at,trigger_price,return_5s,return_15s,return_60s,volume_5s,volume_baseline_1s_median,volume_multiple_5s,12h_low,rise_from_12h_low,origin_price,origin_plus_10pct_floor,spike_high,atr_5m,pricing_mode,predicted_primary,invalid_price,window_high,window_low,window_high_vs_trigger,window_low_vs_trigger,invalid_touched,tier1_price,tier1_weight,tier1_status,tier1_first_touch_at,tier2_price,tier2_weight,tier2_status,tier2_first_touch_at,tier3_price,tier3_weight,tier3_status,tier3_first_touch_at,filled_tier_count,order_result,next_5m_high,next_5m_low,next_5m_close,exit_status,entry_avg,exit_price,gross_return,net_return
2026-07-07T16:19:21+08:00,2026-07-07T16:19:22+08:00,2026-07-07T16:22:21+08:00,2.2877000000,10.0914%,11.3561%,11.9884%,1415646.1999999951,9602.3000000000,29.4856x,0.9617000000,137.8808%,0.9527000000,1.0479700000,2.3134000000,0.0200785714,momentum_atr_estimate,2.2983410714,2.3836750000,2.3299000000,2.1301000000,1.8446%,-6.8890%,no,2.2903096429,0.30,filled,2026-07-07T16:19:22+08:00,2.2983410714,0.40,filled,2026-07-07T16:19:22+08:00,2.3063725000,0.30,filled,2026-07-07T16:19:28+08:00,3,all_filled,2.3299000000,2.1200000000,2.1217000000,target,2.2983410714,2.1276732143,8.0213%,7.9413%
2026-07-07T17:37:44+08:00,2026-07-07T17:37:45+08:00,2026-07-07T17:40:44+08:00,2.5770000000,5.5801%,5.8056%,5.6148%,623894.8000000087,3408.1000000000,36.6125x,0.9658000000,166.8254%,0.9552000000,1.0507200000,2.5917000000,0.0349785714,momentum_atr_estimate,2.5654660714,2.7141250000,2.8439000000,2.5255000000,10.3570%,-1.9984%,yes,2.5514746429,0.30,not_placed,,2.5654660714,0.40,not_placed,,2.5794575000,0.30,not_placed,,0,rejected_origin_floor,2.8439000000,2.5255000000,2.6825000000,no_position,,,,
2026-07-07T18:03:02+08:00,2026-07-07T18:03:03+08:00,2026-07-07T18:06:02+08:00,2.4565000000,5.4971%,7.9733%,7.1444%,300689.1000000003,19249.2000000000,3.1242x,0.9658000000,154.3487%,0.9552000000,1.0507200000,2.4871000000,0.0593785714,momentum_atr_estimate,2.4425660714,2.6949250000,2.5460000000,2.2687000000,3.6434%,-7.6450%,no,2.4188146429,0.30,not_placed,,2.4425660714,0.40,not_placed,,2.4663175000,0.30,not_placed,,0,rejected_origin_floor,2.5460000000,2.2687000000,2.3375000000,no_position,,,,
2026-07-07T19:00:16+08:00,2026-07-07T19:00:17+08:00,2026-07-07T19:03:16+08:00,2.9165000000,7.3427%,8.3315%,8.7678%,641658.7999999977,1086.2000000000,118.1474x,0.9658000000,201.9776%,0.9617000000,1.0578700000,2.9389000000,0.0649000000,momentum_atr_estimate,2.8902250000,3.1660500000,2.9781000000,2.6417000000,2.1121%,-9.4223%,no,2.8642650000,0.30,not_placed,,2.8902250000,0.40,not_placed,,2.9161850000,0.30,not_placed,,0,rejected_origin_floor,2.9781000000,2.6417000000,2.6465000000,no_position,,,,
2026-07-07T23:41:32+08:00,2026-07-07T23:41:33+08:00,2026-07-07T23:44:32+08:00,2.6693000000,8.3408%,8.4993%,9.1828%,478123.6000000045,1678.2000000000,56.9805x,1.0183000000,162.1330%,0.9658000000,1.0623800000,2.6772000000,0.0901785714,momentum_atr_estimate,2.6095660714,2.9928250000,2.6999000000,2.4846000000,1.1464%,-6.9194%,no,2.5734946429,0.30,not_placed,,2.6095660714,0.40,not_placed,,2.6456375000,0.30,not_placed,,0,rejected_origin_floor,2.6999000000,2.4681000000,2.5068000000,no_position,,,,
2026-07-08T01:51:18+08:00,2026-07-08T01:51:19+08:00,2026-07-08T01:54:18+08:00,3.0955000000,6.1339%,6.1339%,7.2629%,732930.2000000075,2516.9000000000,58.2407x,1.0624000000,191.3686%,1.0135000000,1.1148500000,3.1240000000,0.1552000000,momentum_atr_estimate,3.0076000000,3.6672000000,3.1068000000,2.8064000000,0.3650%,-9.3394%,no,2.9455200000,0.30,not_placed,,3.0076000000,0.40,not_placed,,3.0696800000,0.30,not_placed,,0,rejected_origin_floor,3.1068000000,2.8064000000,2.8554000000,no_position,,,,
2026-07-08T02:41:01+08:00,2026-07-08T02:41:02+08:00,2026-07-08T02:44:01+08:00,3.0456000000,5.2566%,6.0298%,7.7059%,299078.8999999998,15998.2000000000,3.7389x,1.1012000000,176.5710%,1.0135000000,1.1148500000,3.0792000000,0.1930571429,momentum_atr_estimate,2.9344071429,3.7549000000,3.1172000000,2.9181000000,2.3509%,-4.1864%,no,2.8571842857,0.30,not_placed,,2.9344071429,0.40,not_placed,,3.0116300000,0.30,not_placed,,0,rejected_origin_floor,3.1172000000,2.9119000000,2.9353000000,no_position,,,,
2026-07-12T13:25:05+08:00,2026-07-12T13:25:06+08:00,2026-07-12T13:28:05+08:00,1.5407000000,5.1601%,8.2865%,10.9775%,1285118.0000000163,7968.6000000000,32.2545x,0.3012000000,411.5206%,0.3012000000,0.3313200000,1.5540000000,0.0811500000,momentum_atr_estimate,1.4931375000,1.8380250000,1.6650000000,1.4818000000,8.0678%,-3.8229%,no,1.4606775000,0.30,not_placed,,1.4931375000,0.40,not_placed,,1.5255975000,0.30,not_placed,,0,rejected_origin_floor,1.6650000000,1.4818000000,1.5073000000,no_position,,,,
2026-07-12T16:01:43+08:00,2026-07-12T16:01:44+08:00,2026-07-12T16:04:43+08:00,1.4978000000,9.6566%,13.6678%,15.0119%,798914.1999999998,9168.0000000000,17.4283x,0.3012000000,397.2776%,0.3012000000,0.3313200000,1.4978000000,0.0642571429,momentum_atr_estimate,1.4496071429,1.7227000000,1.4993000000,1.3678000000,0.1001%,-8.6794%,no,1.4239042857,0.30,not_placed,,1.4496071429,0.40,not_placed,,1.4753100000,0.30,not_placed,,0,rejected_origin_floor,1.4993000000,1.3509000000,1.3688000000,no_position,,,,
2026-07-13T01:08:56+08:00,2026-07-13T01:08:57+08:00,2026-07-13T01:11:56+08:00,1.0302000000,5.2513%,-0.3386%,-9.2335%,419207.6999999998,25466.4000000000,3.2922x,0.8048000000,28.0070%,0.3403000000,0.3743300000,1.3284000000,0.0665857143,momentum_atr_estimate,1.2784607143,1.5614500000,1.0599000000,0.8355000000,2.8829%,-18.8992%,no,1.2518264286,0.30,unfilled,,1.2784607143,0.40,unfilled,,1.3050950000,0.30,unfilled,,0,no_fill,1.0599000000,0.8355000000,0.9761000000,no_position,,,,
2026-07-14T10:50:58+08:00,2026-07-14T10:50:59+08:00,2026-07-14T10:53:58+08:00,1.0719000000,5.0059%,5.2740%,3.2261%,584229.0000000007,15773.0000000000,7.4080x,0.6531000000,64.1249%,0.6531000000,0.7184100000,1.0740000000,0.0148214286,momentum_atr_estimate,1.0628839286,1.1258750000,1.0733000000,1.0277000000,0.1306%,-4.1235%,no,1.0569553571,0.30,not_placed,,1.0628839286,0.40,not_placed,,1.0688125000,0.30,not_placed,,0,rejected_origin_floor,1.0733000000,1.0277000000,1.0598000000,no_position,,,,
2026-07-14T13:35:28+08:00,2026-07-14T13:35:29+08:00,2026-07-14T13:38:28+08:00,1.2480000000,5.2188%,5.2898%,8.8720%,1066468.5000000030,13277.1000000000,16.0648x,0.7000000000,78.2857%,0.6531000000,0.7184100000,1.2651000000,0.0097357143,momentum_atr_estimate,1.2577982143,1.2991750000,1.2793000000,1.2130000000,2.5080%,-2.8045%,no,1.2539039286,0.30,filled,2026-07-14T13:35:29+08:00,1.2577982143,0.40,filled,2026-07-14T13:35:29+08:00,1.2616925000,0.30,filled,2026-07-14T13:35:29+08:00,3,all_filled,1.2793000000,1.2130000000,1.2316000000,timeout,1.2577982143,1.2162000000,3.4203%,3.3403%
2026-07-14T21:18:10+08:00,2026-07-14T21:18:11+08:00,2026-07-14T21:21:10+08:00,1.2020000000,12.4626%,14.2368%,14.0850%,1524134.3000000170,2175.0000000000,140.1503x,0.7480000000,60.6952%,0.7480000000,0.8228000000,1.2127000000,0.0383857143,momentum_atr_estimate,1.1839107143,1.3470500000,1.2345000000,1.1002000000,2.7038%,-8.4692%,no,1.1685564286,0.30,not_placed,,1.1839107143,0.40,not_placed,,1.1992650000,0.30,not_placed,,0,rejected_origin_floor,1.2345000000,1.0993000000,1.1096000000,no_position,,,,
