symbol,signal_at,order_active_at,order_expire_at,trigger_price,return_5s,return_15s,return_60s,volume_5s,volume_baseline_1s_median,volume_multiple_5s,12h_low,rise_from_12h_low,origin_price,origin_plus_10pct_floor,spike_high,atr_5m,pricing_mode,predicted_primary,invalid_price,window_high,window_low,window_high_vs_trigger,window_low_vs_trigger,invalid_touched,tier1_price,tier1_weight,tier1_status,tier1_first_touch_at,tier2_price,tier2_weight,tier2_status,tier2_first_touch_at,tier3_price,tier3_weight,tier3_status,tier3_first_touch_at,filled_tier_count,order_result,next_5m_high,next_5m_low,next_5m_close
1000RATSUSDT,2026-07-31T14:22:08+08:00,2026-07-31T14:22:09+08:00,2026-07-31T14:25:08+08:00,0.0457300000,5.9055%,6.0283%,5.3929%,10144936.0000000000,338347.0000000000,5.9968x,0.0260300000,75.6819%,0.0259800000,0.0285780000,0.0458000000,0.0000885714,momentum_atr_estimate,0.0457335714,0.0461100000,0.0459400000,0.0440500000,0.4592%,-3.6737%,no,0.0456981429,0.30,not_placed,,0.0457335714,0.40,not_placed,,0.0457690000,0.30,not_placed,,0,rejected_origin_floor,0.0467000000,0.0440500000,0.0451400000
1000RATSUSDT,2026-07-31T14:59:06+08:00,2026-07-31T14:59:07+08:00,2026-07-31T15:02:06+08:00,0.0482300000,5.1221%,4.8023%,5.5361%,20583932.0000000000,133618.0000000000,30.8101x,0.0260900000,84.8601%,0.0259800000,0.0285780000,0.0493700000,0.0000700000,momentum_atr_estimate,0.0493175000,0.0496150000,0.0552600000,0.0481600000,14.5760%,-0.1451%,yes,0.0492895000,0.30,filled,2026-07-31T14:59:08+08:00,0.0493175000,0.40,filled,2026-07-31T14:59:08+08:00,0.0493455000,0.30,filled,2026-07-31T14:59:08+08:00,3,all_filled,0.0554400000,0.0481600000,0.0546200000
1000RATSUSDT,2026-07-31T22:46:00+08:00,2026-07-31T22:46:01+08:00,2026-07-31T22:49:00+08:00,0.0587200000,27.9303%,-0.2717%,-0.2379%,298249.0000000000,15769.0000000000,3.7827x,0.0268300000,118.8595%,0.0265900000,0.0292490000,0.0588100000,0.0029214286,momentum_atr_estimate,0.0566189286,0.0690350000,0.0598900000,0.0586100000,1.9925%,-0.1873%,no,0.0554503571,0.30,not_placed,,0.0566189286,0.40,not_placed,,0.0577875000,0.30,not_placed,,0,rejected_origin_floor,0.0598900000,0.0586100000,0.0590700000
1000RATSUSDT,2026-07-31T22:57:05+08:00,2026-07-31T22:57:06+08:00,2026-07-31T23:00:05+08:00,0.0639400000,5.1645%,5.2337%,7.4983%,26967351.0000000000,79699.0000000000,67.6730x,0.0268300000,138.3153%,0.0265900000,0.0292490000,0.0644400000,0.0038600000,momentum_atr_estimate,0.0615450000,0.0779500000,0.0640400000,0.0611800000,0.1564%,-4.3165%,no,0.0600010000,0.30,not_placed,,0.0615450000,0.40,not_placed,,0.0630890000,0.30,not_placed,,0,rejected_origin_floor,0.0640400000,0.0611800000,0.0617400000
1000RATSUSDT,2026-08-01T06:57:05+08:00,2026-08-01T06:57:06+08:00,2026-08-01T07:00:05+08:00,0.0639400000,5.1645%,5.2337%,7.4983%,26967351.0000000000,79699.0000000000,67.6730x,0.0268300000,138.3153%,0.0268300000,0.0295130000,0.0644400000,0.0017021429,momentum_atr_estimate,0.0631633929,0.0703975000,0.0640400000,0.0611800000,0.1564%,-4.3165%,no,0.0624825357,0.30,not_placed,,0.0631633929,0.40,not_placed,,0.0638442500,0.30,not_placed,,0,rejected_origin_floor,0.0640400000,0.0611800000,0.0617400000
AKEUSDT,2026-07-15T04:51:13+08:00,2026-07-15T04:51:14+08:00,2026-07-15T04:54:13+08:00,0.0002581000,6.6088%,7.4521%,14.3047%,591266433.0000000000,20714159.0000000000,5.7088x,0.0001864000,38.4657%,0.0001864000,0.0002050400,0.0002611000,0.0000003643,momentum_atr_estimate,0.0002608268,0.0002623750,0.0002812000,0.0002389000,8.9500%,-7.4390%,yes,0.0002606811,0.30,filled,2026-07-15T04:51:14+08:00,0.0002608268,0.40,filled,2026-07-15T04:51:14+08:00,0.0002609725,0.30,filled,2026-07-15T04:51:14+08:00,3,all_filled,0.0002812000,0.0002389000,0.0002593000
AKEUSDT,2026-07-15T05:41:00+08:00,2026-07-15T05:41:01+08:00,2026-07-15T05:44:00+08:00,0.0003079000,5.0495%,6.5398%,7.2822%,1363423810.0000000000,10094414.0000000000,27.0134x,0.0001864000,65.1824%,0.0001864000,0.0002050400,0.0003155000,0.0000004000,momentum_atr_estimate,0.0003152000,0.0003169000,0.0003172000,0.0002963000,3.0205%,-3.7675%,yes,0.0003150400,0.30,filled,2026-07-15T05:41:02+08:00,0.0003152000,0.40,filled,2026-07-15T05:41:02+08:00,0.0003153600,0.30,filled,2026-07-15T05:41:02+08:00,3,all_filled,0.0003172000,0.0002922000,0.0002965000
AKEUSDT,2026-07-15T05:59:07+08:00,2026-07-15T05:59:08+08:00,2026-07-15T06:02:07+08:00,0.0003536000,7.5753%,6.9247%,10.3276%,2160438567.0000000000,31116524.0000000000,13.8861x,0.0001864000,89.6996%,0.0001864000,0.0002050400,0.0003552000,0.0000004071,momentum_atr_estimate,0.0003548946,0.0003566250,0.0003870000,0.0003383000,9.4457%,-4.3269%,yes,0.0003547318,0.30,filled,2026-07-15T05:59:08+08:00,0.0003548946,0.40,filled,2026-07-15T05:59:08+08:00,0.0003550575,0.30,filled,2026-07-15T06:00:05+08:00,3,all_filled,0.0003980000,0.0003383000,0.0003799000
AKEUSDT,2026-07-15T07:36:50+08:00,2026-07-15T07:36:51+08:00,2026-07-15T07:39:50+08:00,0.0005390000,5.2323%,7.6708%,9.2641%,2790919561.0000000000,24310385.0000000000,22.9607x,0.0001864000,189.1631%,0.0001864000,0.0002050400,0.0005490000,0.0000005071,momentum_atr_estimate,0.0005486196,0.0005507750,0.0005485000,0.0005179000,1.7625%,-3.9147%,no,0.0005484168,0.30,filled,2026-07-15T07:37:05+08:00,0.0005486196,0.40,unfilled,,0.0005488225,0.30,unfilled,,1,partial_filled,0.0005485000,0.0004905000,0.0005003000
AKEUSDT,2026-07-15T08:01:13+08:00,2026-07-15T08:01:14+08:00,2026-07-15T08:04:13+08:00,0.0006184000,5.7456%,5.5290%,10.1336%,2743723413.0000000000,86877941.0000000000,6.3163x,0.0001864000,231.7597%,0.0001864000,0.0002050400,0.0006210000,0.0000005714,momentum_atr_estimate,0.0006205714,0.0006230000,0.0007693000,0.0006117000,24.4017%,-1.0834%,yes,0.0006203429,0.30,filled,2026-07-15T08:01:14+08:00,0.0006205714,0.40,filled,2026-07-15T08:01:14+08:00,0.0006208000,0.30,filled,2026-07-15T08:01:14+08:00,3,all_filled,0.0007693000,0.0005903000,0.0006162000
